00000000000000000000000000010011 // value = 19
00000000000000000000000000100001 // value = 33
00000000000000000000000000010011 // value = 19
00000000000000000000000000011001 // value = 25
00000000000000000000000000010111 // value = 23
00000000000000000000000000000110 // value = 6
11111111111111111111111111011010 // value = -38
00000000000000000000000000010101 // value = 21
00000000000000000000000000110010 // value = 50
11111111111111111111111111110011 // value = -13
11111111111111111111111111100110 // value = -26
11111111111111111111111111110000 // value = -16
00000000000000000000000000001101 // value = 13
11111111111111111111111111101110 // value = -18
11111111111111111111111111111101 // value = -3
11111111111111111111111111110100 // value = -12
00000000000000000000000000101111 // value = 47
00000000000000000000000000100001 // value = 33
00000000000000000000000000100010 // value = 34
00000000000000000000000000000000 // value = 0
00000000000000000000000000010101 // value = 21
11111111111111111111111111011010 // value = -38
00000000000000000000000000001110 // value = 14
00000000000000000000000000110000 // value = 48
11111111111111111111111111111101 // value = -3
00000000000000000000000000110000 // value = 48
11111111111111111111111111010010 // value = -46
11111111111111111111111111111110 // value = -2
11111111111111111111111111110101 // value = -11
00000000000000000000000000101101 // value = 45
00000000000000000000000000000111 // value = 7
11111111111111111111111111011111 // value = -33
00000000000000000000000000000100 // value = 4
11111111111111111111111111101010 // value = -22
11111111111111111111111111100110 // value = -26
00000000000000000000000000000111 // value = 7
11111111111111111111111111111100 // value = -4
11111111111111111111111111011110 // value = -34
11111111111111111111111111101000 // value = -24
11111111111111111111111111110000 // value = -16
11111111111111111111111111110001 // value = -15
11111111111111111111111111110111 // value = -9
11111111111111111111111111010010 // value = -46
11111111111111111111111111110000 // value = -16
11111111111111111111111111011000 // value = -40
00000000000000000000000000010001 // value = 17
00000000000000000000000000100000 // value = 32
11111111111111111111111111111100 // value = -4
11111111111111111111111111101010 // value = -22
11111111111111111111111111100101 // value = -27
11111111111111111111111111010100 // value = -44
00000000000000000000000000001100 // value = 12
00000000000000000000000000101000 // value = 40
11111111111111111111111111111000 // value = -8
11111111111111111111111111010001 // value = -47
11111111111111111111111111110111 // value = -9
00000000000000000000000000011001 // value = 25
00000000000000000000000000010110 // value = 22
11111111111111111111111111010000 // value = -48
00000000000000000000000000001011 // value = 11
11111111111111111111111111011001 // value = -39
00000000000000000000000000101010 // value = 42
00000000000000000000000000010101 // value = 21
00000000000000000000000000011100 // value = 28
00000000000000000000000000011001 // value = 25
11111111111111111111111111111111 // value = -1
00000000000000000000000000000110 // value = 6
11111111111111111111111111100010 // value = -30
00000000000000000000000000101110 // value = 46
11111111111111111111111111010111 // value = -41
00000000000000000000000000001001 // value = 9
00000000000000000000000000100111 // value = 39
00000000000000000000000000100011 // value = 35
00000000000000000000000000000001 // value = 1
11111111111111111111111111100111 // value = -25
00000000000000000000000000110000 // value = 48
11111111111111111111111111110101 // value = -11
11111111111111111111111111100001 // value = -31
11111111111111111111111111010011 // value = -45
11111111111111111111111111110001 // value = -15
00000000000000000000000000101101 // value = 45
00000000000000000000000000011001 // value = 25
00000000000000000000000000110000 // value = 48
00000000000000000000000000110001 // value = 49
11111111111111111111111111111111 // value = -1
00000000000000000000000000010000 // value = 16
00000000000000000000000000010000 // value = 16
11111111111111111111111111010101 // value = -43
00000000000000000000000000110000 // value = 48
00000000000000000000000000000100 // value = 4
11111111111111111111111111011101 // value = -35
00000000000000000000000000011001 // value = 25
00000000000000000000000000010011 // value = 19
00000000000000000000000000101011 // value = 43
00000000000000000000000000001110 // value = 14
11111111111111111111111111010111 // value = -41
00000000000000000000000000001110 // value = 14
11111111111111111111111111010001 // value = -47
00000000000000000000000000101110 // value = 46
11111111111111111111111111010110 // value = -42
11111111111111111111111111100001 // value = -31
11111111111111111111111111100001 // value = -31
11111111111111111111111111101100 // value = -20
11111111111111111111111111100100 // value = -28
00000000000000000000000000010100 // value = 20
00000000000000000000000000100001 // value = 33
11111111111111111111111111011101 // value = -35
11111111111111111111111111101111 // value = -17
00000000000000000000000000100000 // value = 32
00000000000000000000000000100110 // value = 38
00000000000000000000000000011110 // value = 30
00000000000000000000000000011111 // value = 31
00000000000000000000000000101001 // value = 41
11111111111111111111111111101000 // value = -24
00000000000000000000000000001001 // value = 9
